cenario,modelo,round,acc,f1,auc,tempo_seg,bytes_transmitidos
FL_sem_HE,LogReg,1,0.47138795095077307,0.18939910069491755,0.5782585510108669,0.16702651977539062,1180
FL_sem_HE,LogReg,2,0.42260529589479295,0.20426157237325496,0.6109222624477784,0.10601353645324707,1180
FL_sem_HE,LogReg,3,0.42287186778034475,0.21224984839296543,0.6394903783333433,0.11084580421447754,1180
FL_sem_HE,LogReg,4,0.4341567442687045,0.2176904176904177,0.6580734021080455,0.10958051681518555,1180
FL_sem_HE,LogReg,5,0.44082104140749956,0.22125974508105434,0.6716139855068121,0.1015474796295166,1180
FL_com_CKKS_AB,LogReg,1,0.6419051004087436,0.17451863990167965,0.5591069988971272,0.22805523872375488,1907200
FL_com_CKKS_AB,LogReg,2,0.5294117647058824,0.19635811836115327,0.5861770676618496,0.17570137977600098,1906342
FL_com_CKKS_AB,LogReg,3,0.5262129020792607,0.2070196311719215,0.6226241312628494,0.18706679344177246,1906979
FL_com_CKKS_AB,LogReg,4,0.5426515016882886,0.22168456071374565,0.6501436001156817,0.19906258583068848,1906675
FL_com_CKKS_AB,LogReg,5,0.5324329127421361,0.2236647978754795,0.6651668713324982,0.18433499336242676,1907129
